news_source,mfch_rating,allsides_url,url,bias_rating,twitter_link,twitter_user,twitter_user2,is_tweet,instagram_user,instagram_user2,gov_official,uncertainty,comments,html_files,actor,status_edrev,status_commfeed,count_commfeed,status_blind,status_third,sources_third,confidence
Daily Press,RIGHT-CENTER,https://www.allsides.com/news-source/daily-press,http://www.dailypress.com,74,https://twitter.com/Daily_Press,Daily_Press,NA,1,dailypressnews,NA,NA,NA,NA,Daily Press.html,News Media,checked0,checked1,971,checked0,checked0,NA,Low or Initial Rating
Daily Progress,LEAST BIASED,https://www.allsides.com/news-source/daily-progress,http://www.dailyprogress.com,73,https://twitter.com/dailyprogress,dailyprogress,NA,1,cvilledailyprogress,NA,NA,NA,NA,Daily Progress.html,News Media,checked0,checked1,982,checked0,checked0,NA,na
Daily Targum,,https://www.allsides.com/news-source/daily-targum,http://www.dailytargum.com/,72,https://twitter.com/daily_targum?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,daily_targum,NA,1,NA,NA,NA,NA,NA,Daily Targum.html,News Media,checked0,checked1,760,checked0,checked0,NA,Low or Initial Rating
Damon Linker,,https://www.allsides.com/news-source/damon-linker,NA,72,https://twitter.com/DamonLinker?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,DamonLinker,NA,1,NA,NA,NA,NA,NA,Damon Linker.html,Author,checked0,checked1,732,checked0,checked0,NA,Medium
Dan Lucas,,https://www.allsides.com/news-source/dan-lucas,NA,75,https://twitter.com/WFLADan?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,WFLADan,NA,1,NA,NA,NA,NA,NA,Dan Lucas.html,Author,checked0,checked1,235,checked0,checked0,NA,na
Dan McLaughlin,,https://www.allsides.com/news-source/dan-mclaughlin-media-bias,https://www.nationalreview.com/author/dan-mclaughlin/,75,https://twitter.com/baseballcrank?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,baseballcrank,NA,1,NA,NA,NA,NA,NA,Dan McLaughlin.html,Author,checked0,checked0,58,checked0,checked0,NA,Low or Initial Rating
Dan Meuser,,https://www.allsides.com/news-source/dan-meuser-media-bias,NA,75,https://twitter.com/RepMeuser?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,RepMeuser,NA,1,NA,NA,1,NA,NA,Dan Meuser.html,Author,checked0,checked0,46,checked0,checked0,NA,Low or Initial Rating
Dan Schnur,,https://www.allsides.com/news-source/dan-schnur-media-bias,NA,73,https://twitter.com/danschnur,danschnur,NA,1,NA,NA,NA,NA,NA,Dan Schnur.html,Author,checked0,checked1,114,checked0,checked0,NA,Low or Initial Rating
Dan Sullivan`,,https://www.allsides.com/news-source/dan-sullivan,http://www.sullivan2014.com/,75,https://twitter.com/SenDanSullivan?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,SenDanSullivan,NA,1,sen_dansullivan,NA,NA,NA,NA,Dan Sullivan`.html,"Candidate, Campaign or Advocate",checked0,checked1,226,checked0,checked0,NA,na
Dan Wasserman (cartoonist),,https://www.allsides.com/news-source/dan-wasserman-cartoonist,NA,71,https://twitter.com/wassermantoons,WassermanToons,NA,1,NA,NA,NA,NA,NA,Dan Wasserman (cartoonist).html,Author,checked0,checked1,190,checked0,checked0,NA,na
Dana Milbank,,https://www.allsides.com/news-source/dana-milbank,NA,73,https://twitter.com/Milbank?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,Milbank,NA,1,NA,NA,NA,NA,NA,Dana Milbank.html,Author,checked0,checked1,669,checked0,checked0,NA,na
Dana Summers (cartoonist),,https://www.allsides.com/news-source/dana-summers-cartoonist,NA,74,https://twitter.com/danajsummers,DanaJSummers,NA,1,NA,NA,NA,NA,NA,Dana Summers (cartoonist).html,Author,checked0,checked1,295,checked0,checked0,NA,na
Data for Progress,,https://www.allsides.com/news-source/data-progress-media-bias,NA,71,https://twitter.com/DataProgress?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,DataProgress,NA,1,NA,NA,NA,NA,NA,Data for Progress.html,Think Tank / Policy Group,checked0,checked0,29,checked0,checked0,NA,Low or Initial Rating
Dave Yost,,https://www.allsides.com/news-source/dave-yost-media-bias,NA,74,https://twitter.com/OhioAG?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,OhioAG,NA,1,NA,NA,1,NA,NA,Dave Yost.html,Author,checked0,checked0,18,checked0,checked0,NA,Low or Initial Rating
David Brooks,,https://www.allsides.com/news-source/david-brooks,NA,74,https://twitter.com/nytdavidbrooks?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,nytdavidbrooks,NA,1,NA,NA,NA,NA,NA,David Brooks.html,Author,checked0,checked1,1195,checked0,checked0,NA,Medium
David French,,https://www.allsides.com/news-source/david-french-media-bias,NA,74,https://twitter.com/DavidAFrench,DavidAFrench,NA,1,NA,NA,NA,NA,NA,David French.html,Author,checked0,checked1,152,checked0,checked0,NA,Low or Initial Rating
David Frum,,https://www.allsides.com/news-source/david-frum-media-bias,https://davidfrum.com/,74,https://twitter.com/davidfrum?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,davidfrum,NA,1,NA,NA,NA,NA,NA,David Frum.html,Author,checked0,checked1,127,checked0,checked0,NA,Low or Initial Rating
David Harsanyi,,https://www.allsides.com/news-source/david-harsanyi-media-bias,NA,75,https://twitter.com/davidharsanyi?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,davidharsanyi,NA,1,NA,NA,NA,NA,NA,David Harsanyi.html,Author,checked0,checked1,100,checked0,checked0,NA,Low or Initial Rating
David Holmes,,https://www.allsides.com/news-source/david-holmes,NA,72,https://twitter.com/DaveHolmes?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,DaveHolmes,NA,1,NA,NA,NA,NA,NA,David Holmes.html,Author,checked0,checked1,207,checked0,checked0,NA,Low or Initial Rating
David Ignatius,,https://www.allsides.com/news-source/david-ignatius,NA,73,https://twitter.com/IgnatiusPost?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,IgnatiusPost,NA,1,NA,NA,NA,NA,NA,David Ignatius.html,Author,checked0,checked1,520,checked0,checked0,NA,Low or Initial Rating
David Leonhardt,,https://www.allsides.com/news-source/david-leonhardt,NA,72,https://twitter.com/DLeonhardt?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,DLeonhardt,NA,1,NA,NA,NA,NA,NA,David Leonhardt.html,Author,checked0,checked1,452,checked0,checked0,NA,na
David Perdue,,https://www.allsides.com/news-source/david-perdue,https://perduesenate.com/,75,https://twitter.com/Perduesenate,Perduesenate,NA,1,sendavidperdue,NA,NA,NA,NA,David Perdue.html,"Candidate, Campaign or Advocate",checked0,checked1,163,checked0,checked0,NA,na
David Petraeus,,https://www.allsides.com/news-source/david-petraeus-media-bias,NA,73,NA,NA,NA,0,NA,NA,NA,NA,NA,David Petraeus.html,Author,checked0,checked0,78,checked0,checked0,NA,Low or Initial Rating
Debate.org,,https://www.allsides.com/news-source/debateorg-media-bias,https://www.debate.org/,2707,https://twitter.com/debateorg,debateorg,NA,1,NA,NA,NA,NA,NA,Debate.org.html,Dialogue & Debate,checked0,checked0,36,checked0,checked0,NA,Low or Initial Rating
Debilyn Molineaux,,https://www.allsides.com/news-source/debilyn-molineaux-media-bias,NA,72,https://twitter.com/debilynm,debilynm,NA,1,NA,NA,NA,NA,NA,Debilyn Molineaux.html,Author,checked0,checked0,54,checked0,checked0,NA,Low or Initial Rating
Debra Saunders,,https://www.allsides.com/news-source/debra-saunders,NA,75,https://twitter.com/debrajsaunders?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,debrajsaunders,NA,1,NA,NA,NA,NA,NA,Debra Saunders.html,Author,checked0,checked1,359,checked0,checked0,NA,na
Defense One,LEAST BIASED,https://www.allsides.com/news-source/defense-one-media-bias,NA,73,https://twitter.com/DefenseOne?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,DefenseOne,NA,1,NA,NA,NA,NA,NA,Defense One.html,News Media,checked0,checked1,713,checked0,checked0,NA,Low or Initial Rating
Democracy Now,LEFT BIASED,https://www.allsides.com/news-source/democracy-now,http://www.democracynow.org/,71,https://twitter.com/DemocracyNow,DemocracyNow,NA,1,democracynow,NA,NA,NA,NA,Democracy Now.html,News Media,checked0,checked1,16693,checked0,checked0,NA,Low or Initial Rating
Democratic Elected Official,,https://www.allsides.com/news-source/democratic-elected-official,NA,71,NA,NA,NA,0,NA,NA,NA,NA,NA,Democratic Elected Official.html,"Candidate, Campaign or Advocate",checked0,checked1,266,checked0,checked0,NA,na
Democratic Party,,https://www.allsides.com/news-source/democratic-party,NA,72,https://twitter.com/TheDemocrats?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,TheDemocrats,NA,1,NA,NA,1,NA,NA,Democratic Party.html,"Candidate, Campaign or Advocate",checked0,checked1,717,checked0,checked0,NA,na
Dennis Prager,,https://www.allsides.com/news-source/dennis-prager-media-bias,NA,75,https://twitter.com/dennisprager,DennisPrager,NA,1,NA,NA,NA,NA,NA,Dennis Prager.html,Author,checked0,checked1,568,checked0,checked0,NA,Low or Initial Rating
Des Moines Register,LEAST BIASED,https://www.allsides.com/news-source/desmoines-register,http://desmoinesregister.com/,73,https://twitter.com/@DMRegister,DMRegister,NA,1,dmregister,NA,NA,NA,NA,Des Moines Register.html,News Media,checked0,checked1,440,checked0,checked0,NA,Low or Initial Rating
Deseret News,RIGHT-CENTER,https://www.allsides.com/news-source/deseret-news,https://www.deseret.com/,74,https://twitter.com/DeseretNews,DeseretNews,NA,1,deseretnews,NA,NA,NA,NA,Deseret News.html,News Media,checked0,checked1,3264,checked0,checked0,NA,Medium
