"","X.x","image","img_name_noext","clusterid","selected","tweet_id","X.y","author_id","text","created_at.x","location","name","username","actor","allsides_url","bias_rating","ideology"
"40",255,"1054394585873608704_3.jpg","1054394585873608704_3",1,1,"1054394585873608704",1813,7309052,"PHOTOS: Honduran migrant caravan pushes north toward the U.S. https://t.co/izXDOMgPzX via @yahoophoto https://t.co/9MivkMpuN8","2018-10-22T15:30:33.000Z","New York City","Yahoo News","YahooNews","News Media","https://www.allsides.com/news-source/yahoo-news-media-bias",72," Moderate
Liberal"
"41",259,"991026226776207363_1.jpg","991026226776207363_1",2,1,"991026226776207363",3279,16664681,"The migrant caravan arrives at California's doorstep, amid protests, cheers and questions https://t.co/fip916GEIT https://t.co/ri3dhW8XdG","2018-04-30T18:47:19.000Z","El Segundo, CA","Los Angeles Times","latimes","News Media","https://www.allsides.com/news-source/los-angeles-times-bias",72," Moderate
Liberal"
"42",260,"1445847469917552643.jpg","1445847469917552643",3,1,"1445847469917552643",6,4081106480,"Another Haitian Migrant Caravan Leaving For Border In Two Weeks: ‘We Are Ready For War’ https://t.co/1PuB3sE9hA https://t.co/v7FgexmlUk","2021-10-06T20:24:34.000Z","Nashville, USA","Daily Wire","realDailyWire","News Media","https://www.allsides.com/news-source/daily-wire",75,"Very
Conservative"
"43",262,"1068250602730414087.jpg","1068250602730414087",0,1,"1068250602730414087",633,14662354,"Sinclair distances itself from Boris Epshteyn migrant caravan commentary amid protests https://t.co/TLcMmqaqSo https://t.co/YG1TdvrHqB","2018-11-29T21:09:25.000Z","Washington, D.C.","The Washington Times","WashTimes","News Media","https://www.allsides.com/news-source/washington-times-bias",74,"Moderate
Conservative"
"44",266,"991052149277720577.jpg","991052149277720577",4,1,"991052149277720577",4661,39308549,"Migrant Caravan Shows Up At The Border — Mike Pence Sends Them A Message That They Won’t Forget https://t.co/GpqPYoiV1w https://t.co/g8CjHt0Z6v","2018-04-30T20:30:19.000Z","Washington, DC","Daily Caller","DailyCaller","News Media","https://www.allsides.com/news-source/daily-caller",75,"Very
Conservative"
"45",272,"1058169595733909505.jpg","1058169595733909505",2,1,"1058169595733909505",2430,759251,"We have nothing to fear from the migrant march | By Alice Driver via @CNNOpinion https://t.co/oBfG3CK11P https://t.co/8IOnHJ5VcJ","2018-11-02T01:31:06.000Z",NA,"CNN","CNN","News Media","https://www.allsides.com/news-source/cnn-media-bias",71,"  Very
Liberal"
"46",274,"1061816939222319104.jpg","1061816939222319104",1,1,"1061816939222319104",4520,39308549,"Migrant Caravan Resumes Push To US Border https://t.co/yJiTiQGFCK https://t.co/sa0ByoDDxy","2018-11-12T03:04:20.000Z","Washington, DC","Daily Caller","DailyCaller","News Media","https://www.allsides.com/news-source/daily-caller",75,"Very
Conservative"
"47",291,"1059578007013244928.jpg","1059578007013244928",1,1,"1059578007013244928",4730,2992751,"Inside the migrant caravan, making its way north through Mexico https://t.co/VZiqJpeBrJ https://t.co/pOihKou3yT","2018-11-05T22:47:37.000Z","Portland, Oregon","The Oregonian","Oregonian","News Media","https://www.allsides.com/news-source/oregonian-media-bias",73,"Moderate"
"48",301,"1053432885242404864.jpg","1053432885242404864",4,1,"1053432885242404864",488,1917731,"Fox News' Chris Wallace: ""Preposterous"" to say Dems behind migrant caravan https://t.co/0J29GFRl7p https://t.co/BJU4VSJ5O0","2018-10-19T23:49:06.000Z","Washington, DC","The Hill","thehill","News Media","https://www.allsides.com/news-source/hill-media-bias",73,"Moderate"
"49",308,"1060936112770813952_3.jpg","1060936112770813952_3",1,1,"1060936112770813952",3835,6577642,"Following the migrant caravan, in photos: https://t.co/3kGmFhkylk https://t.co/itar52XVuG","2018-11-09T16:44:15.000Z","Washington, D.C.","U.S. News & World Report","usnews","News Media","https://www.allsides.com/news-source/us-news-and-world-report",72," Moderate
Liberal"
