,author_id,text,id,created_at.x,location,name,username,actor,allsides_url,bias_rating
4994,14511951,These powerful photos depict the migrant caravan's burdensome journey as it travels through Honduras and Guatemala on its way to the U.S. President Donald Trump has threatened to seal the border and cut off aid to Central American countries. https://t.co/eQ6R6xtaWQ,1053559068227497984,2018-10-20T08:10:30.000Z,NA,HuffPost,HuffPost,News Media,https://www.allsides.com/news-source/huffpost-media-bias,71
4995,14511951,"Hundreds of Mexican police officers in riot gear awaited a caravan of up to 4,000 would-be asylum-seekers on their way to the U.S. https://t.co/D2OEpza7hg",1053413892964020224,2018-10-19T22:33:38.000Z,NA,HuffPost,HuffPost,News Media,https://www.allsides.com/news-source/huffpost-media-bias,71
4996,1517872886,"Caravan reaches Mexican border, breaks through fence on Guatemalan side https://t.co/cYcjw1CavR",1053365679389396993,2018-10-19T19:22:03.000Z,OFFICIAL,HotAir.com,hotairblog,News Media,https://www.allsides.com/news-source/hotair,74
4997,16550142,Trump threatens to seal U.S.-Mexico border over migrant caravan. Can he do it? https://t.co/7Gxj8g4HE5 https://t.co/srpkOMrksz,1053114538655014913,2018-10-19T02:44:06.000Z,"Indianapolis, IN",IndyStar,indystar,News Media,https://www.allsides.com/news-source/indystar-media-bias,73
4998,1517872886,Mexico moving to stop the migrant caravan https://t.co/ZW0LHadH2c,1052892563810734080,2018-10-18T12:02:03.000Z,OFFICIAL,HotAir.com,hotairblog,News Media,https://www.allsides.com/news-source/hotair,74
4999,14511951,Trump and his administration seized on a migrant caravan and border crossing numbers to unveil policies they've been pushing for months. https://t.co/pkp7nPfW0m,994313625748766720,2018-05-09T20:30:16.000Z,NA,HuffPost,HuffPost,News Media,https://www.allsides.com/news-source/huffpost-media-bias,71
5000,14511951,Here's what it looks like when migrants come to the U.S. border to seek asylum. https://t.co/4HbppT0UhR,991083806995165184,2018-04-30T22:36:07.000Z,NA,HuffPost,HuffPost,News Media,https://www.allsides.com/news-source/huffpost-media-bias,71
5001,14511951,Trump’s warnings about the caravan of migrants are detached from reality. Here’s the real story. https://t.co/ccvVNL8aVA,986855841914609664,2018-04-19T06:35:42.000Z,NA,HuffPost,HuffPost,News Media,https://www.allsides.com/news-source/huffpost-media-bias,71
5002,2884771,"""In Tapachula, there's no life for migrants. We don't have work, we don't have money to pay for housing,"" Atis, a migrant from Haiti, said. https://t.co/na5vFbWIeg",1465841852104466434,2021-12-01T00:35:06.000Z,"New York, NY",Newsweek,Newsweek,News Media,https://www.allsides.com/news-source/newsweek,73
5003,17469289,Hundreds form migrant caravan on way to US border https://t.co/VHwH7oZE1B https://t.co/f8waTP6IgI,1464616781310533642,2021-11-27T15:27:06.000Z,"New York, NY",New York Post,nypost,News Media,https://www.allsides.com/news-source/new-york-post,74
5004,20545835,"Hundreds of Central American and Haitian migrants formed a new caravan on Friday in the southern Mexican state of Chiapas, near the Guatemala border, and began walking north toward the United States.https://t.co/Bq3XAt9YXz",1464334611635261443,2021-11-26T20:45:52.000Z,United States,Newsmax,newsmax,News Media,https://www.allsides.com/news-source/newsmax,74
5005,17469289,Caravan heads to US after Biden failed to press border crisis in Mexico https://t.co/NWT3KMTyBe https://t.co/XdgvnJnIL5,1461736805020184581,2021-11-19T16:43:06.000Z,"New York, NY",New York Post,nypost,News Media,https://www.allsides.com/news-source/new-york-post,74
5006,2884771,Mexico President Andrés Manuel López Obrador will be discussing migration issues with Biden just as another caravan full of migrants leaves Tapachula. https://t.co/yNOJ7YEwrV,1461517860816183301,2021-11-19T02:13:06.000Z,"New York, NY",Newsweek,Newsweek,News Media,https://www.allsides.com/news-source/newsweek,73
5007,20545835,"Rep. Andy Biggs of Arizona says that as a migrant caravan heads toward his state, the Biden administration ""wants chaos at the border."" https://t.co/V8ZOqswzFz",1459377154525843459,2021-11-13T04:26:42.000Z,United States,Newsmax,newsmax,News Media,https://www.allsides.com/news-source/newsmax,74
5008,2884771,"""We are not going to Mexico City, we are now going the northern border, we are going to Sonora,"" the caravan's organizer said. https://t.co/V62XRAiLpq",1459254815981199360,2021-11-12T20:20:34.000Z,"New York, NY",Newsweek,Newsweek,News Media,https://www.allsides.com/news-source/newsweek,73
5009,17469289,Republicans sound alarm to DHS over latest migrant caravan in Mexico https://t.co/1fEQ08zLjR https://t.co/YtRX6Y93ft,1456276360658399234,2021-11-04T15:05:15.000Z,"New York, NY",New York Post,nypost,News Media,https://www.allsides.com/news-source/new-york-post,74
5010,17469289,Migrant caravan rejects offers of visas by Mexican authorities https://t.co/tg40kq9lpF https://t.co/TM4nIJyhTJ,1454490786582732800,2021-10-30T16:50:01.000Z,"New York, NY",New York Post,nypost,News Media,https://www.allsides.com/news-source/new-york-post,74
